uid,ciudadorigen,ciudaddestino,horasalida,duracion,medio,capacidad,precio,asiento,fechacompra,fechaviaje
1,Roma,Florencia,08:54:00,5,Tren,800,35,752,2020-03-02 00:00:00,2020-10-28
1,Chantilly,París,11:12:00,4,Tren,800,32,325,2019-11-04 00:00:00,2020-02-02
2,París,Florencia,23:50:00,3,Tren,800,40,469,2018-12-23 00:00:00,2019-04-22
2,Nancy,Chantilly,14:45:00,6,Bus,45,20,16,2019-11-09 00:00:00,2020-01-08
2,Nancy,Chantilly,14:45:00,6,Bus,45,20,18,2020-01-20 00:00:00,2020-02-19
2,París,Bruselas,15:45:00,2,Avión,150,100,96,2018-09-04 00:00:00,2019-07-01
3,París,Florencia,23:23:00,3,Tren,800,40,613,2020-08-05 00:00:00,2021-05-02
3,Westminster,Bruselas,20:23:00,3,Avión,200,150,137,2019-01-09 00:00:00,2019-04-09
3,París,Chantilly,09:56:00,4,Tren,800,32,144,2020-12-19 00:00:00,2021-03-19
3,París,Bruselas,15:45:00,2,Avión,150,100,141,2018-02-09 00:00:00,2018-04-10
3,Chantilly,París,11:12:00,6,Bus,45,20,29,2018-05-22 00:00:00,2018-11-18
4,Antwerp,Bruselas,23:32:00,1,Tren,800,15,708,2019-11-08 00:00:00,2020-05-06
4,Dresde,Bruselas,11:22:00,3,Tren,800,47,335,2018-05-04 00:00:00,2018-12-30
4,Florencia,Roma,11:34:00,5,Tren,800,35,284,2020-12-07 00:00:00,2021-09-03
4,Milán,Dresde,10:43:00,3,Tren,800,42,370,2019-03-11 00:00:00,2019-08-08
5,París,Bruselas,13:42:00,5,Tren,800,45,75,2020-05-16 00:00:00,2020-11-12
5,Nancy,Chantilly,23:23:00,6,Bus,45,20,30,2018-06-09 00:00:00,2019-02-04
5,Milán,Dresde,10:43:00,3,Tren,800,42,601,2019-03-24 00:00:00,2019-09-20
5,Florencia,Milán,21:55:00,3,Tren,800,32,517,2019-09-18 00:00:00,2020-07-14
6,Westminster,Bruselas,12:34:00,3,Avión,200,150,84,2019-02-17 00:00:00,2019-04-18
6,Milán,Dresde,10:43:00,3,Tren,800,42,229,2020-02-27 00:00:00,2020-09-24
6,Antwerp,Bruselas,09:56:00,1,Tren,800,15,555,2019-07-11 00:00:00,2019-10-09
6,Chantilly,Nancy,16:12:00,3,Tren,800,32,332,2020-02-28 00:00:00,2020-10-25
7,Roma,Florencia,08:54:00,6,Bus,45,25,32,2020-08-12 00:00:00,2021-03-10
8,Florencia,Milán,21:55:00,6,Bus,45,20,7,2020-05-11 00:00:00,2020-08-09
8,Milán,Dresde,07:12:00,3,Tren,800,42,130,2018-12-13 00:00:00,2019-06-11
8,Milán,Florencia,07:12:00,3,Tren,800,32,328,2018-11-05 00:00:00,2019-02-03
8,París,Roma,21:34:00,3,Avión,200,120,81,2020-04-01 00:00:00,2020-08-29
8,París,Chantilly,09:56:00,6,Bus,45,20,36,2020-12-22 00:00:00,2021-09-18
9,Antwerp,Bruselas,09:56:00,1,Bus,45,12,23,2019-02-04 00:00:00,2019-05-05
9,Westminster,Bruselas,12:34:00,3,Avión,200,150,154,2018-07-01 00:00:00,2019-02-26
9,París,Chantilly,15:34:00,4,Tren,800,32,175,2020-07-10 00:00:00,2020-08-09
9,Bruselas,París,09:23:00,3,Tren,800,45,763,2020-10-08 00:00:00,2021-07-05
9,Roma,Florencia,08:54:00,5,Tren,800,35,535,2018-08-15 00:00:00,2018-12-13
9,Antwerp,Bruselas,23:32:00,1,Tren,800,15,102,2019-02-18 00:00:00,2019-12-15
10,París,Chantilly,15:34:00,6,Bus,45,20,41,2020-02-10 00:00:00,2020-04-10
10,París,Bruselas,15:45:00,2,Avión,150,100,32,2018-08-15 00:00:00,2019-05-12
10,Bruselas,París,15:21:00,3,Tren,800,45,221,2018-11-20 00:00:00,2019-05-19
11,Dresde,Milán,21:55:00,3,Tren,800,42,595,2020-05-20 00:00:00,2020-10-17
11,Florencia,Milán,21:55:00,3,Tren,800,32,125,2018-01-12 00:00:00,2018-11-08
11,París,Bruselas,15:45:00,2,Avión,150,100,15,2020-05-08 00:00:00,2020-06-07
11,París,Bruselas,23:43:00,2,Avión,150,100,108,2018-07-09 00:00:00,2018-08-08
11,París,Roma,13:15:00,3,Avión,200,120,66,2018-10-19 00:00:00,2019-08-15
11,Milán,Florencia,18:56:00,6,Bus,45,20,23,2019-04-15 00:00:00,2019-08-13
12,Westminster,Bruselas,15:55:00,3,Avión,200,150,115,2019-01-26 00:00:00,2019-07-25
12,Antwerp,Bruselas,23:32:00,1,Bus,45,12,21,2020-08-14 00:00:00,2021-04-11
13,Florencia,París,14:45:00,3,Tren,800,40,788,2019-09-04 00:00:00,2019-12-03
13,Bruselas,Westminster,18:54:00,3,Avión,200,150,155,2018-03-12 00:00:00,2018-10-08
13,Bruselas,París,22:43:00,5,Tren,800,45,40,2019-12-12 00:00:00,2020-08-08
13,Roma,Florencia,13:42:00,6,Bus,45,25,10,2019-07-18 00:00:00,2020-01-14
13,Florencia,París,14:45:00,3,Tren,800,40,567,2020-02-27 00:00:00,2020-06-26
13,Roma,París,06:17:00,3,Avión,200,120,153,2018-07-10 00:00:00,2019-03-07
14,Bruselas,París,22:12:00,2,Avión,150,100,72,2018-05-10 00:00:00,2018-11-06
15,París,Florencia,23:23:00,3,Tren,800,40,249,2020-10-16 00:00:00,2021-03-15
15,Milán,Dresde,07:12:00,3,Tren,800,42,503,2020-10-15 00:00:00,2021-07-12
15,Milán,Florencia,07:12:00,6,Bus,45,20,35,2018-03-05 00:00:00,2018-10-31
16,Florencia,Milán,21:55:00,6,Bus,45,20,38,2019-07-22 00:00:00,2020-02-17
16,Dresde,Milán,23:23:00,3,Tren,800,42,648,2020-08-22 00:00:00,2020-09-21
16,Roma,París,23:56:00,3,Avión,200,120,85,2018-05-05 00:00:00,2018-12-31
16,Bruselas,Westminster,18:54:00,3,Avión,200,150,23,2020-02-10 00:00:00,2020-12-06
17,Roma,Florencia,08:54:00,5,Tren,800,35,31,2019-08-25 00:00:00,2020-03-22
17,Bruselas,París,12:50:00,2,Avión,150,100,28,2019-12-10 00:00:00,2020-07-07
18,París,Bruselas,08:54:00,5,Tren,800,45,553,2020-09-25 00:00:00,2021-06-22
18,París,Chantilly,15:34:00,6,Bus,45,20,33,2020-06-11 00:00:00,2020-09-09
18,Bruselas,Westminster,18:54:00,3,Avión,200,150,130,2020-09-08 00:00:00,2020-10-08
18,Florencia,Milán,10:43:00,6,Bus,45,20,12,2020-10-16 00:00:00,2021-08-12
19,París,Bruselas,13:42:00,5,Tren,800,45,451,2019-09-26 00:00:00,2020-06-22
19,Bruselas,París,12:50:00,2,Avión,150,100,4,2020-10-18 00:00:00,2021-06-15
19,Nancy,Chantilly,23:23:00,3,Tren,800,32,90,2020-03-18 00:00:00,2020-09-14
20,Milán,Florencia,07:12:00,3,Tren,800,32,465,2018-12-19 00:00:00,2019-03-19
20,Westminster,Bruselas,10:05:00,3,Avión,200,150,168,2018-10-14 00:00:00,2019-01-12
20,Nancy,Chantilly,14:45:00,6,Bus,45,20,40,2020-04-02 00:00:00,2020-08-30
20,Bruselas,París,09:23:00,3,Tren,800,45,325,2019-05-22 00:00:00,2019-08-20
20,Antwerp,Bruselas,23:32:00,1,Tren,800,15,269,2020-10-08 00:00:00,2021-05-06
20,Bruselas,Antwerp,20:42:00,1,Bus,45,12,38,2020-02-14 00:00:00,2020-09-11
20,Milán,Florencia,07:12:00,6,Bus,45,20,42,2020-05-05 00:00:00,2020-12-01
21,Dresde,Milán,11:23:00,3,Tren,800,42,19,2019-03-19 00:00:00,2019-12-14
21,Milán,Florencia,18:56:00,6,Bus,45,20,43,2020-03-19 00:00:00,2020-06-17
22,Florencia,París,14:45:00,3,Tren,800,40,570,2019-05-06 00:00:00,2019-06-05
22,Westminster,Bruselas,15:55:00,3,Avión,200,150,62,2019-06-14 00:00:00,2019-07-14
23,Westminster,Bruselas,10:05:00,3,Avión,200,150,174,2018-12-22 00:00:00,2019-01-21
23,Bruselas,París,08:30:00,2,Avión,150,100,5,2018-02-01 00:00:00,2018-04-02
23,Milán,Florencia,07:12:00,3,Tren,800,32,168,2018-12-27 00:00:00,2019-08-24
23,París,Bruselas,08:54:00,5,Tren,800,45,437,2019-04-11 00:00:00,2019-12-07
24,Bruselas,Antwerp,11:34:00,1,Bus,45,12,26,2018-08-05 00:00:00,2019-03-03
24,Nancy,Chantilly,23:23:00,3,Tren,800,32,27,2020-02-02 00:00:00,2020-10-29
24,Bruselas,Antwerp,20:42:00,1,Tren,800,15,63,2019-03-01 00:00:00,2019-12-26
25,Bruselas,Dresde,09:56:00,1,Tren,800,47,303,2020-05-17 00:00:00,2020-06-16
25,Bruselas,Dresde,20:42:00,1,Tren,800,47,395,2019-10-04 00:00:00,2020-01-02
25,Bruselas,Westminster,18:54:00,3,Avión,200,150,21,2019-08-28 00:00:00,2020-06-23
25,Bruselas,Westminster,22:30:00,3,Avión,200,150,123,2020-09-18 00:00:00,2021-06-15
26,Milán,Dresde,10:43:00,3,Tren,800,42,506,2018-06-15 00:00:00,2019-04-11
26,Milán,Florencia,18:56:00,6,Bus,45,20,37,2019-04-23 00:00:00,2019-07-22
26,Roma,París,23:56:00,3,Avión,200,120,33,2019-11-10 00:00:00,2020-08-06
26,Chantilly,París,22:22:00,6,Bus,45,20,24,2019-12-18 00:00:00,2020-01-17
26,Roma,Florencia,08:54:00,6,Bus,45,25,22,2018-07-04 00:00:00,2018-10-02
26,Florencia,Roma,11:34:00,6,Bus,45,25,7,2019-02-17 00:00:00,2019-05-18
27,Roma,Florencia,13:42:00,5,Tren,800,35,703,2020-08-07 00:00:00,2020-12-05
27,Milán,Dresde,07:12:00,3,Tren,800,42,413,2019-08-24 00:00:00,2020-01-21
27,Florencia,París,14:45:00,3,Tren,800,40,71,2019-05-14 00:00:00,2019-10-11
28,París,Bruselas,13:42:00,5,Tren,800,45,256,2019-02-09 00:00:00,2019-04-10
28,Florencia,Milán,21:55:00,6,Bus,45,20,16,2019-06-22 00:00:00,2019-09-20
28,París,Florencia,07:23:00,3,Tren,800,40,381,2019-09-14 00:00:00,2019-11-13
28,Bruselas,Westminster,09:55:00,3,Avión,200,150,58,2020-09-18 00:00:00,2021-04-16
29,Roma,Florencia,08:54:00,6,Bus,45,25,28,2019-06-11 00:00:00,2020-04-06
29,Roma,Florencia,13:42:00,6,Bus,45,25,43,2018-04-15 00:00:00,2019-01-10
29,Florencia,París,14:45:00,3,Tren,800,40,235,2018-03-11 00:00:00,2018-11-06
29,París,Bruselas,13:42:00,5,Tren,800,45,387,2018-12-25 00:00:00,2019-01-24
30,Bruselas,Antwerp,20:42:00,1,Tren,800,15,64,2019-06-08 00:00:00,2020-04-03
30,Florencia,Milán,21:55:00,6,Bus,45,20,41,2019-05-16 00:00:00,2020-03-11
30,Milán,Florencia,07:12:00,6,Bus,45,20,27,2019-04-06 00:00:00,2019-07-05
30,Bruselas,Antwerp,20:42:00,1,Bus,45,12,22,2020-02-22 00:00:00,2020-10-19
30,Chantilly,París,22:22:00,4,Tren,800,32,709,2018-03-06 00:00:00,2018-12-31
31,Florencia,Milán,10:43:00,6,Bus,45,20,16,2018-03-25 00:00:00,2018-05-24
31,Roma,París,14:45:00,3,Avión,200,120,33,2020-07-17 00:00:00,2020-12-14
31,Chantilly,París,22:22:00,6,Bus,45,20,20,2018-09-11 00:00:00,2019-05-09
31,París,Florencia,23:50:00,3,Tren,800,40,312,2018-06-25 00:00:00,2018-09-23
32,París,Chantilly,09:56:00,6,Bus,45,20,34,2019-02-12 00:00:00,2019-12-09
32,París,Roma,13:15:00,3,Avión,200,120,169,2020-04-16 00:00:00,2021-01-11
32,París,Florencia,23:50:00,3,Tren,800,40,729,2019-01-22 00:00:00,2019-04-22
32,Bruselas,París,16:35:00,2,Avión,150,100,30,2018-09-21 00:00:00,2019-05-19
32,París,Chantilly,15:34:00,6,Bus,45,20,27,2018-09-10 00:00:00,2019-06-07
33,París,Chantilly,15:34:00,4,Tren,800,32,216,2019-02-28 00:00:00,2019-03-30
33,Roma,Florencia,08:54:00,5,Tren,800,35,288,2018-04-08 00:00:00,2018-09-05
34,Chantilly,Nancy,16:12:00,6,Bus,45,20,11,2018-06-12 00:00:00,2018-12-09
34,Roma,París,14:45:00,3,Avión,200,120,94,2018-12-01 00:00:00,2019-09-27
34,Dresde,Milán,11:23:00,3,Tren,800,42,352,2020-02-20 00:00:00,2020-03-21
34,Bruselas,París,22:12:00,2,Avión,150,100,101,2020-03-17 00:00:00,2020-04-16
35,París,Bruselas,11:34:00,5,Tren,800,45,117,2019-12-10 00:00:00,2020-10-05
35,Chantilly,París,22:22:00,4,Tren,800,32,369,2019-07-18 00:00:00,2019-11-15
35,Milán,Florencia,18:56:00,6,Bus,45,20,27,2019-01-03 00:00:00,2019-08-31
36,Bruselas,París,15:21:00,3,Tren,800,45,655,2018-06-10 00:00:00,2018-12-07
36,Milán,Dresde,07:12:00,3,Tren,800,42,673,2020-09-04 00:00:00,2021-06-01
36,Roma,París,23:56:00,3,Avión,200,120,28,2018-05-19 00:00:00,2018-07-18
37,Roma,Florencia,08:54:00,5,Tren,800,35,351,2020-10-12 00:00:00,2021-05-10
37,Antwerp,Bruselas,23:32:00,1,Bus,45,12,38,2019-09-26 00:00:00,2019-10-26
38,Florencia,Milán,10:43:00,3,Tren,800,32,386,2018-12-21 00:00:00,2019-10-17
38,Bruselas,Antwerp,20:42:00,1,Bus,45,12,25,2020-02-25 00:00:00,2020-05-25
38,Roma,París,23:56:00,3,Avión,200,120,195,2019-07-11 00:00:00,2020-03-07
38,Chantilly,París,22:22:00,6,Bus,45,20,8,2018-01-06 00:00:00,2018-07-05
38,Chantilly,Nancy,16:12:00,3,Tren,800,32,470,2019-01-01 00:00:00,2019-05-31
39,París,Bruselas,09:30:00,2,Avión,150,100,39,2018-10-05 00:00:00,2019-05-03
39,Chantilly,París,11:12:00,6,Bus,45,20,9,2019-12-02 00:00:00,2020-04-30
40,Milán,Florencia,18:56:00,3,Tren,800,32,575,2019-09-13 00:00:00,2020-07-09
40,Chantilly,París,11:12:00,6,Bus,45,20,13,2018-05-06 00:00:00,2018-06-05
40,París,Bruselas,09:30:00,2,Avión,150,100,90,2018-04-26 00:00:00,2018-06-25
40,Nancy,Chantilly,14:45:00,3,Tren,800,32,795,2018-12-13 00:00:00,2019-06-11
41,Bruselas,París,22:43:00,5,Tren,800,45,512,2018-07-17 00:00:00,2018-10-15
41,Florencia,Milán,21:55:00,3,Tren,800,32,317,2018-01-28 00:00:00,2018-04-28
41,Roma,Florencia,13:42:00,5,Tren,800,35,422,2019-06-08 00:00:00,2020-04-03
42,Bruselas,Antwerp,20:42:00,1,Tren,800,15,643,2019-11-14 00:00:00,2020-04-12
42,París,Bruselas,11:34:00,5,Tren,800,45,786,2019-09-10 00:00:00,2019-11-09
42,Florencia,Milán,21:55:00,3,Tren,800,32,660,2019-07-06 00:00:00,2019-12-03
42,Chantilly,Nancy,16:12:00,3,Tren,800,32,244,2020-07-04 00:00:00,2020-10-02
42,París,Chantilly,15:34:00,4,Tren,800,32,89,2018-01-15 00:00:00,2018-06-14
42,Chantilly,París,22:22:00,6,Bus,45,20,29,2018-01-22 00:00:00,2018-08-20
42,Bruselas,Antwerp,11:34:00,1,Bus,45,12,41,2019-06-21 00:00:00,2019-08-20
42,Bruselas,París,09:23:00,3,Tren,800,45,651,2019-01-04 00:00:00,2019-07-03
42,Dresde,Bruselas,11:22:00,3,Tren,800,47,683,2020-04-12 00:00:00,2020-08-10
43,París,Bruselas,08:54:00,5,Tren,800,45,165,2020-11-10 00:00:00,2021-02-08
43,París,Chantilly,09:56:00,6,Bus,45,20,6,2020-07-17 00:00:00,2020-10-15
43,París,Chantilly,09:56:00,4,Tren,800,32,417,2018-10-23 00:00:00,2018-12-22
43,París,Bruselas,11:34:00,5,Tren,800,45,36,2019-03-20 00:00:00,2019-12-15
43,Bruselas,Westminster,22:30:00,3,Avión,200,150,145,2020-09-12 00:00:00,2021-05-10
44,Nancy,Chantilly,14:45:00,3,Tren,800,32,566,2018-08-24 00:00:00,2019-05-21
44,Westminster,Bruselas,10:05:00,3,Avión,200,150,44,2019-07-19 00:00:00,2020-03-15
44,Roma,Florencia,08:54:00,6,Bus,45,25,4,2020-04-04 00:00:00,2020-06-03
44,Bruselas,Westminster,09:55:00,3,Avión,200,150,79,2018-01-18 00:00:00,2018-09-15
44,Florencia,Milán,10:43:00,3,Tren,800,32,12,2018-01-24 00:00:00,2018-04-24
44,Bruselas,Westminster,22:30:00,3,Avión,200,150,188,2020-10-15 00:00:00,2021-04-13
44,Roma,París,06:17:00,3,Avión,200,120,151,2019-11-25 00:00:00,2020-01-24
44,Florencia,París,08:23:00,3,Tren,800,49,775,2020-09-15 00:00:00,2021-04-13
45,Nancy,Chantilly,14:45:00,6,Bus,45,20,35,2020-03-07 00:00:00,2020-08-04
45,Antwerp,Bruselas,09:56:00,1,Tren,800,15,273,2019-02-05 00:00:00,2019-03-07
45,Milán,Dresde,18:56:00,3,Tren,800,42,158,2020-12-13 00:00:00,2021-10-09
45,Antwerp,Bruselas,09:56:00,1,Tren,800,15,84,2018-03-25 00:00:00,2019-01-19
46,Milán,Florencia,18:56:00,3,Tren,800,32,737,2020-04-28 00:00:00,2020-06-27
46,Chantilly,Nancy,16:12:00,3,Tren,800,32,278,2019-12-23 00:00:00,2020-03-22
46,Westminster,Bruselas,10:05:00,3,Avión,200,150,160,2020-06-24 00:00:00,2020-10-22
46,Westminster,Bruselas,10:05:00,3,Avión,200,150,60,2019-03-19 00:00:00,2019-06-17
47,Milán,Florencia,18:56:00,6,Bus,45,20,13,2019-01-13 00:00:00,2019-08-11
47,Chantilly,Nancy,08:23:00,6,Bus,45,20,5,2019-07-27 00:00:00,2020-04-22
47,París,Chantilly,09:56:00,6,Bus,45,20,42,2019-12-21 00:00:00,2020-06-18
47,Antwerp,Bruselas,09:56:00,1,Bus,45,12,17,2019-01-01 00:00:00,2019-03-02
48,Milán,Florencia,07:12:00,3,Tren,800,32,53,2018-04-26 00:00:00,2019-01-21
48,Bruselas,París,08:30:00,2,Avión,150,100,109,2018-10-21 00:00:00,2019-06-18
48,Milán,Florencia,18:56:00,6,Bus,45,20,12,2018-11-15 00:00:00,2019-01-14
49,Chantilly,Nancy,16:12:00,6,Bus,45,20,10,2020-03-17 00:00:00,2020-08-14
49,Dresde,Bruselas,23:32:00,1,Tren,800,47,318,2020-10-04 00:00:00,2021-01-02
49,París,Florencia,23:50:00,3,Tren,800,40,385,2020-05-26 00:00:00,2021-03-22
49,Dresde,Milán,11:23:00,3,Tren,800,42,591,2019-08-25 00:00:00,2020-05-21
49,París,Chantilly,15:34:00,4,Tren,800,32,519,2020-07-23 00:00:00,2021-03-20
49,Westminster,Bruselas,10:05:00,3,Avión,200,150,99,2018-01-05 00:00:00,2018-05-05
49,Antwerp,Bruselas,23:32:00,1,Bus,45,12,9,2018-11-21 00:00:00,2019-01-20
50,Bruselas,París,15:21:00,3,Tren,800,45,788,2020-09-27 00:00:00,2021-07-24
50,Chantilly,París,22:22:00,4,Tren,800,32,147,2020-06-11 00:00:00,2021-02-06
50,París,Roma,07:12:00,3,Avión,200,120,188,2018-10-24 00:00:00,2018-12-23
50,Westminster,Bruselas,20:23:00,3,Avión,200,150,58,2019-07-23 00:00:00,2020-01-19
50,Antwerp,Bruselas,09:56:00,1,Tren,800,15,794,2020-10-10 00:00:00,2020-11-09
50,Antwerp,Bruselas,23:32:00,1,Bus,45,12,3,2018-07-28 00:00:00,2019-03-25
,Florencia,Roma,22:43:00,6,Bus,45,25,,,
,Bruselas,Dresde,11:34:00,1,Tren,800,47,,,
,Bruselas,Westminster,14:25:00,3,Avión,200,150,,,
,Bruselas,Antwerp,11:34:00,1,Tren,800,15,,,
,Florencia,Roma,22:43:00,5,Tren,800,35,,,
,Bruselas,Westminster,11:33:00,3,Avión,200,150,,,
,Florencia,París,16:12:00,3,Tren,800,40,,,
,Chantilly,Nancy,08:23:00,3,Tren,800,32,,,
,Dresde,Bruselas,09:34:00,3,Tren,800,47,,,
